Meld,Quantity,Price,Total,Description,Creation Date,Unit,Property Name,Address line 1,City,State,Postal code
TALNAF9,,,207.50,"Materials include. Switch, electrical tape, screws, etc.",01/02/2023 13:57,1,,469 North 29th Street,Louisville,KY,40212
,1.00,25.00,25.0000,Breaker,,1,,469 North 29th Street,Louisville,KY,40212
,1.00,20.00,20.0000,Materials,,1,,469 North 29th Street,Louisville,KY,40212
,2.50,65.00,162.5000,Heat not functioning and lights in bathroom are flickering.   Replaced loose service switch on heater.   Replaced 2 pole 20 amp breaker with new.   Heat and lights functioning normally after repairs.,,1,,469 North 29th Street,Louisville,KY,40212
T40HLGC,,,97.50,,01/02/2023 15:08,149,,4319 Sanders Lane - 149,Louisville,KY,40216
,1.50,65.00,97.5000,Dishwasher is leaking from drain and dishwasher housing. Recommend replacing.,,149,,4319 Sanders Lane - 149,Louisville,KY,40216
TG8B96LB,,,97.50,,01/02/2023 16:18,4,,7604 Garrison Road - 4,Louisville,KY,40214
,1.50,65.00,97.5000,No leaks upstairs in apartment 8.   No leaks seen on trunk line in bathroom wall.   Believe that water is coming up from underneath.   Referral to Dixie Plumbing.,,4,,7604 Garrison Road - 4,Louisville,KY,40214
T9TVMXBB,,,414.00,,01/02/2023 20:56,1,,7604 Garrison Road - 1,Louisville,KY,40214
,1.00,154.00,154.0000,Supplies,,1,,7604 Garrison Road - 1,Louisville,KY,40214
,4.00,65.00,260.0000,Had to strip bathtub  Repaired painted bathtub  Installed new tub spout,,1,,7604 Garrison Road - 1,Louisville,KY,40214
TLNF94IB,,,409.00,,01/02/2023 21:01,10,,1908 Crums Lane - 10,Louisville,KY,40216
,1.00,139.00,139.0000,Supplies,,10,,1908 Crums Lane - 10,Louisville,KY,40216
,3.00,65.00,195.0000,Installed new shower faucet,,10,,1908 Crums Lane - 10,Louisville,KY,40216
,3.00,25.00,75.0000,2nd tech's labor,,10,,1908 Crums Lane - 10,Louisville,KY,40216
T2VG2JB,,,175.00,,01/03/2023 10:03,1,,6604 Estele Ave,Louisville,KY,40214
,1.00,20.00,20.0000,Wax ring closet bolts kit.,,1,,6604 Estele Ave,Louisville,KY,40214
,1.00,25.00,25.0000,"Materials include. Paper towels, garbage bags, screws, etc.",,1,,6604 Estele Ave,Louisville,KY,40214
,2.00,65.00,130.0000,"Toilet closet bolts corroded, wax ring blown out.   Pulled toilet, replaced wax ring and closet bolts.  Toilet is level and tight to floor. No leaks after repair.   Bedroom door hinge loose and missing strike plate.   Installed better screws in hinges and installed new strike plate.  Door closes and locks after repair.",,1,,6604 Estele Ave,Louisville,KY,40214
THC8CHLB,,,800.00,,01/03/2023 10:59,2,,2211 Gerald Court - 2,Louisville,KY,40218
,1.00,800.00,800.0000,Delivered stove,,2,,2211 Gerald Court - 2,Louisville,KY,40218
TGCEYHZ,,,262.50,,01/03/2023 12:11,1,,129 East Wampum Avenue,Louisville,KY,40214
,3.00,55.00,165.0000,Deadbolt knob combo,,1,,129 East Wampum Avenue,Louisville,KY,40214
,1.50,65.00,97.5000,Replaced all deadbolts and knobs.   Keyed to V.    Back door has some damage to trim and jam.   Placed refrigerator in front of back door to make more secure.,,1,,129 East Wampum Avenue,Louisville,KY,40214
TBEQDG4,,,65.00,,01/03/2023 12:43,1439,,1439 Thornberry Avenue,Louisville,KY,40215
,1.00,65.00,65.0000,Gas was recently turned on.   Lit pilot light for water heater.   Heat is self lighting and working.,,1439,,1439 Thornberry Avenue,Louisville,KY,40215
TEXP3GAB,,,130.00,,01/03/2023 12:50,Unit 1,,2729 Montana Ave,Louisville,KY,40208
,1.00,65.00,65.0000,Materials,,Unit 1,,2729 Montana Ave,Louisville,KY,40208
,1.00,65.00,65.0000,changed locks,,Unit 1,,2729 Montana Ave,Louisville,KY,40208
T5GU7DHB,,,65.00,,01/03/2023 12:51,1,,1072 Eastern Parkway,Louisville,KY,40217
,1.00,65.00,65.0000,Drain clogged unclogged drain,,1,,1072 Eastern Parkway,Louisville,KY,40217
TINKCAR,,,65.00,,01/03/2023 12:56,1,,1743 Culbertson Avenue,New Albany,IN,47150
,1.00,65.00,65.0000,repaired door,,1,,1743 Culbertson Avenue,New Albany,IN,47150
T4DAEA2,,,75.00,,01/03/2023 12:58,1,,3645 Rolling Ridge Way,Jeffersonville,IN,47130
,1.00,10.00,10.0000,Materials,,1,,3645 Rolling Ridge Way,Jeffersonville,IN,47130
,1.00,65.00,65.0000,Replaced the stopper,,1,,3645 Rolling Ridge Way,Jeffersonville,IN,47130
TXIA851,,,65.00,,01/03/2023 12:59,106,,1743 Culbertson Avenue,New Albany,IN,47150
,1.00,65.00,65.0000,Labor,,106,,1743 Culbertson Avenue,New Albany,IN,47150
TAQ8X2,,,65.00,,01/03/2023 13:01,8,,1743 Culbertson Avenue,New Albany,IN,47150
,1.00,65.00,65.0000,No leaks found,,8,,1743 Culbertson Avenue,New Albany,IN,47150
TUP1BNEB,,,280.00,,01/03/2023 13:02,1,,3926 Rankin Street,Louisville,KY,40214
,1.00,20.00,20.0000,Materials,,1,,3926 Rankin Street,Louisville,KY,40214
,1.00,130.00,130.0000,12/25-Pipes froze. Got water turned off,,1,,3926 Rankin Street,Louisville,KY,40214
,2.00,65.00,130.0000,12/27-Replace water supply line from frozen pipes bursting,,1,,3926 Rankin Street,Louisville,KY,40214
TWE7DZMB,,,65.00,,01/03/2023 14:13,1,,2922 South 5th Street,Louisville,KY,40208
,1.00,65.00,65.0000,Water leak can be heard under master bath.   Cannot find access panel to crawlspace.   Referral to Dixie Plumbing.,,1,,2922 South 5th Street,Louisville,KY,40208
T5Y0HBX,,,65.00,,01/03/2023 15:37,1,,3409 Prestwood Drive - 1,Louisville,KY,40219
,1.00,65.00,65.0000,Checked all units for frozen pipes and water leaks. All units in good condition.,,1,,3409 Prestwood Drive - 1,Louisville,KY,40219
TR0CAQV,,,165.00,"Materials include. Paper towels, trash bags, etc.",01/03/2023 19:21,112,,1743 Culbertson Avenue,New Albany,IN,47150
,1.00,15.00,15.0000,Wax ring,,112,,1743 Culbertson Avenue,New Albany,IN,47150
,1.00,20.00,20.0000,Materials,,112,,1743 Culbertson Avenue,New Albany,IN,47150
,2.00,65.00,130.0000,Two ceiling tiles were broken from moisture exposure.   Leak coming from toilet flange in 212.   Toilet was clogged when I got to unit 212. Snaked toilet. Clog would not give.   Removed toilet. Found no wax ring on flange.   Flange wasn't installed in correct position. Causing a narrow opening and is the root cause of the clog.  Removed clog at flange.   Adjusted flange as much as I could.   Installed wax ring.  Reinstalled toilet.   No leak after repairs.,,112,,1743 Culbertson Avenue,New Albany,IN,47150
TCEE1FE,,,227.50,,01/03/2023 22:12,1,,819 1/2 Beecher Street,Louisville,KY,40215
