Meld,Amount,Notes,Unit,Property Name,Address line 1,City,State,Postal code
TALNAF9,207.50,"Materials include. Switch, electrical tape, screws, etc.",1,,469 North 29th Street,Louisville,KY,40212
T40HLGC,97.50,,149,,4319 Sanders Lane - 149,Louisville,KY,40216
TG8B96LB,97.50,,4,,7604 Garrison Road - 4,Louisville,KY,40214
T9TVMXBB,414.00,,1,,7604 Garrison Road - 1,Louisville,KY,40214
TLNF94IB,409.00,,10,,1908 Crums Lane - 10,Louisville,KY,40216
T2VG2JB,175.00,,1,,6604 Estele Ave,Louisville,KY,40214
THC8CHLB,800.00,,2,,2211 Gerald Court - 2,Louisville,KY,40218
TGCEYHZ,262.50,,1,,129 East Wampum Avenue,Louisville,KY,40214
TBEQDG4,65.00,,1439,,1439 Thornberry Avenue,Louisville,KY,40215
TEXP3GAB,130.00,,Unit 1,,2729 Montana Ave,Louisville,KY,40208
T5GU7DHB,65.00,,1,,1072 Eastern Parkway,Louisville,KY,40217
TINKCAR,65.00,,1,,1743 Culbertson Avenue,New Albany,IN,47150
T4DAEA2,75.00,,1,,3645 Rolling Ridge Way,Jeffersonville,IN,47130
TXIA851,65.00,,106,,1743 Culbertson Avenue,New Albany,IN,47150
TAQ8X2,65.00,,8,,1743 Culbertson Avenue,New Albany,IN,47150
TUP1BNEB,280.00,,1,,3926 Rankin Street,Louisville,KY,40214
TWE7DZMB,65.00,,1,,2922 South 5th Street,Louisville,KY,40208
T5Y0HBX,65.00,,1,,3409 Prestwood Drive - 1,Louisville,KY,40219
TR0CAQV,165.00,"Materials include. Paper towels, trash bags, etc.",112,,1743 Culbertson Avenue,New Albany,IN,47150
TCEE1FE,227.50,,1,,819 1/2 Beecher Street,Louisville,KY,40215
TMY33AM,105.00,"Materials include drywall patch, tape, mud, etc.",5,,230 West Blue Lick Road - 5,Shepherdsville,KY,40165
TTK6Q6Y,447.50,"Materials include drywall mud, tape, caulk, paper towels, and trash bags.",6,,230 West Blue Lick Road - 6,Shepherdsville,KY,40165
T63PYFKB,132.50,"Materials include paper towels, trash bags, thrifts drain treatment.",1,,510 Creel Ave,Louisville,KY,40208
TIA353DB,65.00,,1,,2147 Duncan Street - 1,Louisville,KY,40212
TRE4LB9,102.50,Materials include screws and composite shim.,1,,439 North 38th Street,Louisville,KY,40212
TC39CJCB,65.00,,11,,212 East 13th Street- 11,New Albany,IN,47150
TBLBMW9,140.00,,1,,2802 Duncan Street,Louisville,KY,40212
TVHJ1HEB,250.00,,868,,868 Marian Village Dr.,Shelbyville,KY,40065
TI6F254,370.00,,4,,4901 Saddlebrook Lane - 4,Louisville,KY,40216
TZNY9RDB,65.00,,6,,4902 Saddlebrook Lane - 6,Louisville,KY,40216
T9QR5UH,77.00,,4,,1002 East Main St,New Albany,IN,47150
TL1K4F5,105.00,,6A,,402 North Hite Avenue 6A,Louisville,KY,40206
T4WKVX8,70.00,,1B,,402 North Hite Avenue,Louisville,KY,40206
TLBH4CK,90.00,,1,,3758 Lentz Avenue,Louisville,KY,40215
T4GA840,170.00,"Repaired flame sensors 
Repaired thermostat",5,,4901 Saddlebrook Lane - 5,Louisville,KY,40216
TA1YDVCB,210.00,"Cleaned furnace
Repaired flame sensors",6,,4903 Saddlebrook Lane - 6,Louisville,KY,40216
TT2ZYT0,323.00,"Repaired shower faucet 
Repaired vanity faucet 
Repaired vanity drain 
Repaired kitchen lights 
Repaired bedroom light 
Repaired doors 
Unclogged drain and tub 
I would charge back to tenant $123.00 for clogged toilet and drains there was lots of debris in drains and toilet 
Repaired tub drain",1,,3339 Taylor Boulevard - 1,Louisville,KY,40215
TRRHQMFB,374.50,"Install New shower faucet cartridge
Install new tub spout
Repaired bathroom window
Repaired vanity cabinet
Repaired vanity faucet
Installed new toilet seat
Repaired multiple plugs cool broken wall plates and burnt plug
Repaired multiple plugs cool broken wall plates and burnt plug 
Repaired kitchen light
Repaired kitchen sink install new sink basket
Repaired small hole by door knob in bathroom
Install new smoke alarm
Picked up all trash around the outside area
Passed inspection",3,,3339 Taylor Boulevard - 3,Louisville,KY,40215
TRLJQY6,505.00,,1,,4902 Saddlebrook Lane - 1,Louisville,KY,40216
TNX7B1W,176.00,,1A,,302 Keeneland Drive - 1A,Elizabethtown,KY,42701
T185R01,409.00,,1A,,304 Keeneland Drive - 1A,Elizabethtown,KY,42701
TGWI1PJ,0.00,Tenant did not want the locks changed,1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
TRNTEL3,284.00,"Repaired toilet 
Repaired vanity faucet and drain 
Repaired laundry room doors 
Filled a few holes 
Took pictures of all floors 
Office will schedule for repairs


Office will schedule for repairs once we get approval",1,,500 East Ormsby Avenue - 1,Louisville,KY,40203
THWYKCBB,65.00,,A,,170 Gillette Avenue A,Louisville,KY,40214
TZK19GG,700.00,,626,,626 Marian Village Dr.,Shelbyville,KY,40065
TG90G3K,65.00,,10,,1002 East Main St,New Albany,IN,47150
TFAK4KCB,274.50,"Materials include paper towels, caulk, screws, expanding foam, etc.",1,,819 1/2 Beecher Street,Louisville,KY,40215
T0K4765,122.50,,1,,2750 Montana Avenue,Louisville,KY,40208
TJ16R55,90.00,,2B,,402 North Hite Avenue 2B,Louisville,KY,40206
TXL78IW,245.00,,15,,7602 Garrison Road - 15,Louisville,KY,40214
TKB73HEB,127.50,,3,,1035 Baxter Ave - 3,Louisville,KY,40204
TQY2QZN,65.00,,2,,601 Revolutionary Road - 2,Louisville,KY,40214
T7WYDZ1,277.50,Materials include paper towels and trash bags.,8,,4728 Southern Parkway - 8,Louisville,KY,40214
TPD1FALB,65.00,,13,,111 E O'Bryan Avenue-13,Bardstown,KY,40004
TVF0RFU,124.23,,12,,111 E O'Bryan Avenue-12,Bardstown,KY,40004
TQUDCV2,97.50,,106,,100 Slate Run - 106,Bardstown,KY,40004
T8VPF98,97.50,"Done walk through for section8 repairs 
Things that need to be repaired 
Unit door jam is split 
Kitchen light needs repaired 
Needs sink strainers 
Repair bedroom door jam 
Bathroom closet door 
Toilet needs repaired loose at base and toilet set
Install need tub spout 
Repair vent in bathroom
Office will schedule for repairs",7B,,402 North Hite Avenue,Louisville,KY,40206
TPWNTQK,191.00,,B6,,2505 Brownsboro Road - B6,Louisville,KY,40206
TGMUYBC,65.00,,132,,100 Slate Run - 132,Bardstown,KY,40004
TBAVQGJB,130.00,Replaced AC unit,101,,100 Slate Run - 101,Bardstown,KY,40004
