Unit,Property Name,Address line 1,City,State,Postal code,Meld creation date,Tenant presence required,Work category,Work location,Priority,Detailed description,Description,Meld status,Meld number,Started,Due date,Meld completion date,Meld completion notes,Meld canceled,Meld cancel reason,Meld reason not completed,Meld rating,Tags,Review Date,Tenant review,Assignee,Maintenance notes,Vendor accept date,Appointment,Meld URL,Propertyware work order,Rent Manager service issue
1,,1109 Berry Boulevard,Louisville,KY,40215,07/06/2023 10:51,No,Sewer,kitchen and bathroom,Medium,the sinks in the kitchen and bathroom are backing up can't clear them,Sinks in Kitchen and bathroom are backing up,Pending meld assignment,TGU3M63,,,,,,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5658650/summary/,,
1,,604 Merwin Avenue,Louisville,KY,40217,07/06/2023 10:49,No,Sewer,Basement,Medium,Basement flooded after severe storms 6.29.23. Did not have electricity for 22 hours. Sub pump may have stopped working,Basement Flooded,Pending meld assignment,TE21B4P,,,,,,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5658625/summary/,,
1,,604 Merwin Avenue,Louisville,KY,40217,07/06/2023 10:47,No,Appliances,Kitchen,Medium,Stove stopped working Thursday June 29th following power outage due to severe weather. It’s has been a week and I have been unable to cook.,Oven is not working,Pending meld assignment,TV7PFR7,,,,,,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5658597/summary/,,
2430-107,,2430 McKindree Ct-107,Louisville,KY,40211,07/06/2023 10:42,No,General,Whole Unit ,Low,Tenant has already bought brackets and she just needs them to be put in. Support bracket for closet and window brackets. Tenant needs the washer hooked up as well. There is also a shelf in one of their cabinets that fell and needs to be put back up.,Multiple Issues ,Pending meld assignment,TJXEYLAB,,,,,,,,,,,,Not assigned,,,,https://app.propertymeld.com/1912/m/1912/meld/5658543/summary/,,
1,,4621 Silverleaf Dr,Louisville,KY,40213,07/06/2023 10:11,Yes,Heating/AC,House,Low,"Tenant reported that the vents are not hooked up with the back two rooms. 
Need to create access to the attic so Allstate Mechanical can hook those runs up to the HVAC system

",Attic access point for AC (clone) (clone),Pending more management availability,TFZXNAFB,,,,,,,,,Waiting on Owner Approval,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5658250/summary/,,
1,,1021 West Whitney Avenue,Louisville,KY,40215,07/06/2023 10:09,No,Cleaning,house,Low,Property needs to be trashed out,Trash out,Pending vendor acceptance,TG3IA8G,,,,,,,,,Vacant,,,Garcias cleaning llc ,,,,https://app.propertymeld.com/1912/m/1912/meld/5658238/summary/,,
B13,,4604 Southern Parkway - B13,Louisville,KY,40214,07/06/2023 09:46,Yes,Plumbing,Furnace,Low,"During recent inspection it was found that there is gas leak. 
We sent a plumber out to detect where the gas leak could be coming from. He found it to be from the furnace at the gas valve.
",Gas leak (clone),Pending more vendor availability,T553UVJ,07/06/2023 09:55,,,,,,,,,,,Allstate Mechanical,,07/06/2023 09:55,,https://app.propertymeld.com/1912/m/1912/meld/5658029/summary/,,
1,,607 West Saint Catherine Street - 1,Louisville,KY,40203,07/06/2023 09:40,No,Cleaning,Apartment,Low,"Please clean apartment for move-in readiness. Should be a ""V"" key and lockbox code 0987. Thank you.",Full Unit Clean,Pending vendor acceptance,TDW5V8DB,,,,,,,,,,,,Garcias cleaning llc ,,,,https://app.propertymeld.com/1912/m/1912/meld/5657969/summary/,,
1,,18214 Hickory Woods Place,Fisherville,KY,40023,07/06/2023 09:27,No,Electrical,Porch,Medium,"Only Outdoor Outlet (GFCI) will not reset in order to provide power.  No apparent breaker in the breaker box to reset also.  This is the only electrical outlet on the Southside of the house.  Required for security camera. As you can see from the picture the gfci is open and will not reset.

The service tech checked the breakers all are fine. He checked every plug and switch that shares the same wall and they are all fine, no dropped hot wires.",Outdoor electrical outlet not working (clone),Pending completion,T69B05Z,07/06/2023 09:35,,,,,,,,,,,Mingus Electric llc,,07/06/2023 09:35,07/06/2023 15:15,https://app.propertymeld.com/1912/m/1912/meld/5657847/summary/,,
12,,1743 Culbertson Avenue,New Albany,IN,47150,07/06/2023 09:25,No,Pest control,entire unit,Low,"Please retreat for roaches. Tech who was there last suggestion another treatment.

Lockbox 0987
Blue key fob will get you into the building",Pest control (clone) (clone),Pending vendor acceptance,TG5UX41,,,,,,,,,Vacant,,,EnviroSafe Termite & Pest Control,,,,https://app.propertymeld.com/1912/m/1912/meld/5657821/summary/,,
1,,311 Ealy Street,New Albany,IN,47150,07/06/2023 08:43,No,Plumbing,Hallway,Low,The tenant reported that the roof started leaking again in the hallway. She stated that it's actively leaking. ,Roof Leak,Pending more management availability,TKIMH6X,,,,,,,,,SFH - Indiana,,,Service Team,,,,https://app.propertymeld.com/1912/m/1912/meld/5657541/summary/,,
