Meld,Work Category,Agent,Title,Description,Hours,Check in,Checkout,Unit,Property Name,Address line 1,City,State,Postal code
TALNAF9,ELECTRICAL,Mike Guelda,Breaker.,"Heat not functioning and lights in bathroom are flickering. 

Replaced loose service switch on heater. 

Replaced 2 pole 20 amp breaker with new. 

Heat and lights functioning normally after repairs.",2.5,01/02/2023 11:30,01/02/2023 14:00,1,,469 North 29th Street,Louisville,KY,40212
T40HLGC,PLUMBING,Mike Guelda,Dishwasher.,"Removed panel beneath dishwasher. 

Ran cycle. 

During drain cycle water began to drip from drain and from the actual dishwasher housing. 

Due to damage and 30 years age of machine, recommend replacing.",1.5,01/02/2023 13:30,01/02/2023 15:00,149,,4319 Sanders Lane,Louisville,KY,40216
TG8B96LB,GENERAL,Mike Guelda,Leak.,"No leaks upstairs in apartment 8. 

No leaks seen on trunk line in bathroom wall. 

Believe that water is coming up from underneath. 

Referral to Dixie Plumbing.",1.5,01/02/2023 15:00,01/02/2023 16:30,4,,7602 Garrison Road,Louisville,KY,40214
TDUVMK,OTHER_WORK_CATEGORY,Albert Hardesty,Maintenance,"Repaired repaired installed gasket and shelf 
Painted both front  and back doors",3.0,01/01/2023 14:30,01/01/2023 17:30,1,,4621 Silverleaf Dr,Louisville,KY,40213
T5JJM4V,GENERAL,Albert Hardesty,Maintenance,Started repairs for section8,3.0,01/01/2023 11:00,01/01/2023 14:00,4,,212-216 East 13th Street,New Albany,IN,47150
T2VG2JB,OTHER_WORK_CATEGORY,Mike Guelda,Multiple issues.,"Toilet closet bolts corroded, wax ring blown out. 

Pulled toilet, replaced wax ring and closet bolts.

Toilet is level and tight to floor. No leaks after repair. 

Bedroom door hinge loose and missing strike plate. 

Installed better screws in hinges and installed new strike plate.

Door closes and locks after repair. 

Electrical issues in laundry room caused by use of 120volt dryer. It draws too much power for the circuit. 

Will have to return for outdoor repairs when there is better weather.",2.0,01/03/2023 08:00,01/03/2023 10:00,1,,6604 Estele Ave,Louisville,KY,40214
TGCEYHZ,LOCKS,Mike Guelda,Doors.,"Replaced all deadbolts and knobs. 

Keyed to V.  

Back door has some damage to trim and jam. 

Placed refrigerator in front of back door to make more secure.",1.5,01/03/2023 10:30,01/03/2023 12:00,1,,129 East Wampum Avenue,Louisville,KY,40214
TBEQDG4,OTHER_WORK_CATEGORY,Mike Guelda,Pilot light.,"Gas was recently turned on. 

Lit pilot light for water heater. 

Heat is self lighting and working.",1.0,01/03/2023 12:00,01/03/2023 13:00,1439,,1439-1445 Thornberry,Louisville,KY,40215
TWE7DZMB,EVALUATION,Mike Guelda,Busted water pipe.,"Water leak can be heard under master bath. 

Cannot find access panel to crawlspace. 

Referral to Dixie Plumbing.",1.0,01/03/2023 13:00,01/03/2023 14:00,1,,2922 South 5th Street,Louisville,KY,40208
TR0CAQV,PLUMBING,Mike Guelda,Toilet repair unit 212,"Checked in with apartment 112. 

Two ceiling tiles were broken from moisture exposure. 

Leak coming from toilet flange in 212. 

Toilet was clogged when I got to unit 212. Snaked toilet. Clog would not give. 

Removed toilet. Found no wax ring on flange. 

Flange wasn't installed in correct position. Causing a narrow opening and is the root cause of the clog. 
Removed clog at flange. 

Adjusted flange as much as I could. 

Installed wax ring.

Reinstalled toilet. 

No leak after repairs. 

Dropped off ceiling tiles at 112. 

The gentleman was ready for bed and didn't want me to install them.",2.0,01/03/2023 17:30,01/03/2023 19:30,112,,1743 Culbertson Avenue,New Albany,IN,47150
TCEE1FE,LOCKS,Albert Hardesty,Maintenance,Changed locks,2.5,01/03/2023 12:00,01/03/2023 14:30,1,,819 1/2 Beecher Street,Louisville,KY,40215
TIQ103X,PLUMBING,Albert Hardesty,Maintenance,"Applied drywall mud on ceiling 
Repaired ceiling over tub",2.0,01/03/2023 13:30,01/03/2023 15:30,D5,,2505 Brownsboro Road,Louisville,KY,40206
TMY33AM,DRYWALL,Mike Guelda,Ceiling repair,"Installed drywall patch. Taped and mudded seams. 

Will have to return to texture ceiling.",1.5,01/04/2023 08:00,01/04/2023 09:30,5,,230 West Blue Lick Road,Shepherdsville,KY,40165
